Spill / Vessel,Location,Dates,Min Tonnes,Max Tonnes,Owner,Trading Name,Notes
World Glory,"South Africa, 65 miles ENE of Durban",13-Jun-68,"44,058","46,000",World Tankers Co. Inc.,,privately held
Genevieve,"United States, Corpus Christi, Texas",25-Apr-68,unknown,unknown,Lykes Brothers Steamship Co. Ltd.,,privately held
Andron,"Namibia, between Luderitz and Walvis Bay",8-May-68,,,,,NMAR- ownership unclear
Esso Essen,South Africa,Apr-68,"4,092","4,092",,,NMAR- ownership unclear
General Colocotronis,"Bahamas, Eleuthera",7-Mar-68,"5,047","5,047",,,privately held
Ocean Eagle,"Puerto Rico, San Juan, Puerto Rico",3-Mar-68,"12,000","12,500",Transocean Tankers Inc.,,privately held
R.C. Stoner,"United States, Pacific Ocean, Wake Island",1967,"20,000","20,000",,,NMAR- no Yfinance stock ticker for Standard Oil of California
Torrey Canyon,"United Kingdom, Cornwall and Isles of Scilly",18-Mar-67,"80,000","119,000",,BP,
Mississippi River oil spill (1962-1963),"United States, Savage and Mankato, Minnesota",8 December 1962 - 23 January 1963,"11,000","15,000",,,privately held
African Queen,"United States, Ocean City, Maryland",30-Dec-58,"21,000","21,000",,,privately held
Avila Beach pipeline,"United States, Avila Beach, California",1950's - 1996,"1,300","1,300",,,NMAR- not a discrete incident
Guadalupe Oil Field,"United States, Guadalupe, California",1950's - 1994,"29,000","29,000",,,NMAR- not a discrete incident
Sliedrecht,"South Africa, Cape Town, Table Bay",Nov-53,"1,000","1,000",,,NMAR - details unclear
SS Jacob Luckenbach,"United States, Gulf of the Farallons National Marine Sanctuary, San Francisco, California",14 July 1953 - present,"1,484","1,484",,,privately held
Esso Wheeling,"South Africa, Quoin Point near Cape Town",4-Nov-48,,,,,NMAR- no Yfinance stock ticker for Standard Oil
Lincoln,"South Africa, Quoin Point near Cape Town",1946,,,,,NMAR - details unclear
"Greenpoint, Brooklyn","United States, Newtown Creek, Greenpoint, Brooklyn, New York",1940s - 1950s,"55,200","97,400",,,NMAR- not a discrete incident
Seria Field 14 wells,Brunei,12 June 1945 - September 1945,unknown,unknown,,,NMAR- military action
Scuttled tanker El Grillo,"Iceland, SeyÃ°isfjÃ¶rÃ°ur",February 1944 - present,unknown,unknown,,,NMAR- military action
SSÂ Frank H. Buck / SSÂ President Coolidge collision,"United States, San Francisco Bay, California",6-Mar-37,"8,870","8,870",,,NMAR - military ship collision
Lakeview Gusher,"United States, Kern County, California",14 March 1910 - 10 September 1911,"1,230,000","1,230,000",,,NMAR- no Yfinance stock ticker for Union Oil Company
Thomas W. Lawson,"United Kingdom, Isles of Scilly",14-Dec-07,"7,400","7,400",,,NMAR- no Yfinance stock ticker for Coastwise Transportation
SSÂ Petriana,"Australia, Port Phillip Bay, Victoria",30-Nov-03,"1,300","1,300",Asiatic Petroleum Company,,NMAR- no Yfinance stock ticker for Asiatic Petroleum Company
